"","sector","val","type","year"
"197","Tucson",317696,"apprehensions",2008
"198","Yuma",8363,"apprehensions",2008
"199","Big Bend",6360,"apprehensions",2009
"200","Del Rio",17082,"apprehensions",2009
"201","El Centro",33521,"apprehensions",2009
"202","El Paso",14999,"apprehensions",2009
"203","Laredo",40569,"apprehensions",2009
"204","Rio Grande Valley",60989,"apprehensions",2009
"205","San Diego",118721,"apprehensions",2009
"206","Tucson",241673,"apprehensions",2009
"207","Yuma",6951,"apprehensions",2009
"208","Big Bend",5288,"apprehensions",2010
"209","Del Rio",14694,"apprehensions",2010
"210","El Centro",32562,"apprehensions",2010
"211","El Paso",12251,"apprehensions",2010
"212","Laredo",35287,"apprehensions",2010
"213","Rio Grande Valley",59766,"apprehensions",2010
"214","San Diego",68565,"apprehensions",2010
"215","Tucson",212202,"apprehensions",2010
"216","Yuma",7116,"apprehensions",2010
"217","Big Bend",4036,"apprehensions",2011
"218","Del Rio",16144,"apprehensions",2011
"219","El Centro",30191,"apprehensions",2011
"220","El Paso",10345,"apprehensions",2011
"221","Laredo",36053,"apprehensions",2011
"222","Rio Grande Valley",59243,"apprehensions",2011
"223","San Diego",42447,"apprehensions",2011
"224","Tucson",123285,"apprehensions",2011
"225","Yuma",5833,"apprehensions",2011
"226","Big Bend",3964,"apprehensions",2012
"227","Del Rio",21720,"apprehensions",2012
"228","El Centro",23916,"apprehensions",2012
"229","El Paso",9678,"apprehensions",2012
"230","Laredo",44872,"apprehensions",2012
"231","Rio Grande Valley",97762,"apprehensions",2012
"232","San Diego",28461,"apprehensions",2012
"233","Tucson",120000,"apprehensions",2012
"234","Yuma",6500,"apprehensions",2012
"235","San Diego",19.5,"got_away_pct",2006
"236","San Diego",22.6,"got_away_pct",2007
"237","San Diego",18,"got_away_pct",2008
"238","San Diego",13.2,"got_away_pct",2009
"239","San Diego",10.3,"got_away_pct",2010
"240","San Diego",8.1,"got_away_pct",2011
"241","El Centro",17.2,"got_away_pct",2006
"242","El Centro",15.3,"got_away_pct",2007
"243","El Centro",16.5,"got_away_pct",2008
"244","El Centro",12.3,"got_away_pct",2009
"245","El Centro",11.3,"got_away_pct",2010
"246","El Centro",9.5,"got_away_pct",2011
"247","Yuma",36.2,"got_away_pct",2006
"248","Yuma",21.3,"got_away_pct",2007
"249","Yuma",12.4,"got_away_pct",2008
"250","Yuma",8.2,"got_away_pct",2009
"251","Yuma",5.2,"got_away_pct",2010
"252","Yuma",6.3,"got_away_pct",2011
"253","Tucson",34.2,"got_away_pct",2006
"254","Tucson",36.1,"got_away_pct",2007
"255","Tucson",32.1,"got_away_pct",2008
"256","Tucson",28.7,"got_away_pct",2009
"257","Tucson",22.2,"got_away_pct",2010
"258","Tucson",13.1,"got_away_pct",2011
"259","El Paso",27.1,"got_away_pct",2006
"260","El Paso",13.2,"got_away_pct",2007
"261","El Paso",7.3,"got_away_pct",2008
"262","El Paso",5.6,"got_away_pct",2009
"263","El Paso",4.3,"got_away_pct",2010
"264","El Paso",4.4,"got_away_pct",2011
"265","Big Bend",13.9,"got_away_pct",2006
"266","Big Bend",12.4,"got_away_pct",2007
"267","Big Bend",18.7,"got_away_pct",2008
"268","Big Bend",26.5,"got_away_pct",2009
"269","Big Bend",27,"got_away_pct",2010
"270","Big Bend",32,"got_away_pct",2011
"271","Del Rio",37,"got_away_pct",2006
"272","Del Rio",31.4,"got_away_pct",2007
"273","Del Rio",27.7,"got_away_pct",2008
